,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado,Prazo_execução_nr,Valor_Dia,preço_contratual_nr
490,Serviços de consultoria para os Sistemas de Gestão de Profissionais de Saúde (SGPS) no âmbito da Pandemia COVID 19,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,49104.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","49.104,00 €",05-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,19-10-2020,"49.104,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,49104.0,504272179,"AltranPortugal, S.A. (504272179)",71,691.6056338028169,49104.0
491,Serviços tecnológicos para o SIGLIC no âmbito da pandemia COVID19 ,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,40050.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","CGITI Portugal,S.A (502605731)","40.050,00 €",05-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,19-10-2020,"40.050,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,40050.0,502605731,"CGITI PORTUGAL, SA (502605731)",71,564.0845070422536,40050.0
492,Serviços para desenvolvimentos e suporte no SICA no âmbito da pandemia COVID19,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,60192.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Axianseux II, Digital consulting, SA (501774360)","60.192,00 €",05-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,16-09-2020,"60.192,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,60192.0,501774360,"AXIANSEU II DIGITAL CONSULTING, SA (501774360)",71,847.7746478873239,60192.0
493,Serviços de desenvolvimento do SI do SONHO no âmbito da pandemia COVID19,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,63360.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",TIMESTAMP – Sistemas de Informação S.A. (506360237),"63.360,00 €",05-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,30-06-2020,"63.360,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,63360.0,506360237,"Timestamp - Sistemas de Informação, S.A. (506360237)",71,892.3943661971831,63360.0
494,"Serviços de manutenção, corretiva e evolutiva da solução informática SICC no âmbito da Pandemia COVID 19",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,33262.9 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Altranportugal, S.A. (504272179)","33.262,90 €",04-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,19-10-2020,"33.262,90 €",,,,Não aplicável.,Não aplicável.,False,,False,,,33262.9,504272179,"AltranPortugal, S.A. (504272179)",71,468.4915492957747,33262.9
495,Serviços de desenvolvimento do Sistema de Informação SCLINICO no âmbito da Pandemia COVID19 - Lote 2 - serviços de desenvolvimento do SI SClínico CSP,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,47520.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","47.520,00 €",04-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,21-12-2020,"47.520,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,47520.0,504272179,"AltranPortugal, S.A. (504272179)",71,669.2957746478874,47520.0
496,Serviços de desenvolvimento do Sistema de Informação SCLINICO no âmbito da Pandemia COVID19 - Lote 1 - serviços de desenvolvimento do SI SClínico Hospitalar ,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,31674.4 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","31.674,40 €",04-05-2020,2020-04-17,71 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,21-12-2020,"31.674,40 €",,,,Não aplicável.,Não aplicável.,False,,False,,,31674.4,504272179,"AltranPortugal, S.A. (504272179)",71,446.118309859155,31674.4
497,Serviços de desenvolvimento do SINAVE no âmbito da Pandemia COVID 19,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,31680.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","31.680,00 €",04-05-2020,2020-04-22,68 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",Cumprimento integral do contrato,21-12-2020,"31.680,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,31680.0,504272179,"AltranPortugal, S.A. (504272179)",68,465.88235294117646,31680.0
498,"Serviços de manutenção corretiva, preventiva e evolutiva do BI para a Morbilidade Hospitalar (BIMH)",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,230239.53 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","230.239,53 €",28-04-2020,2020-01-27,1068 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,230239.53,504272179,"AltranPortugal, S.A. (504272179)",1068,215.58008426966293,230239.53
499,Serviços de gestão documental de arquivo físico do Centro de Controlo e Monitorização do Serviço Nacional de Saúde (CCM – SNS),Ajuste Direto Regime Geral,Aquisição de serviços,79995100-6,Principal,Serviços de arquivo,79600.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",Safebox - Gestão e Custódia Arquivos (506360717),"79.600,00 €",28-04-2020,2020-04-22,247 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,79600.0,506360717,"Safebox - Gestão e Custódia de Arquivos, SA (506360717)",247,322.26720647773277,79600.0
500,Serviços de prescrição eletrónica médica e dispensa hospitalar - lote 3 - serviços para evolução e manutenção evolutiva e corretiva - Dispositivos Médicos (PEM -DM),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,67876.8 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",BABEL Ibérica S.A  (507025229),"67.876,80 €",28-04-2020,2020-03-31,639 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,67876.8,507025229,"BABEL IBÉRICA, S.A. (507025229)",639,106.22347417840376,67876.8
501,Serviços de apoio especializado à Direção de Planeamento e Desenvolvimento Organizacional - lote 2 - serviços de apoio especializado para a área de Acompanhamento e Gestão de Contratos - Perfil 2,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,129360.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ITEN SOLUTIONS, SISTEMAS DE INFORMAÇÃO, S.A (510728189)","129.360,00 €",21-04-2020,2020-03-13,1020 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,129360.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",1020,126.82352941176471,129360.0
502,Serviços de apoio especializado à Direção de Planeamento e Desenvolvimento Organizacional  - lote 4 - serviços de apoio especializado para a área de Planeamento e Desenvolvimento Organizacional – Perfil 4,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,105021.5 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ITEN Solutions - Sistemas de Informação, S.A. (510728189)","105.021,50 €",16-04-2020,2020-03-03,1032 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,105021.5,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",1032,101.76501937984496,105021.5
503,"Aquisição de serviços de vigilância e segurança humana para as instalações da SPMS, E.P.E.",Concurso público,Aquisição de serviços,79710000-4,Principal,Serviços de segurança,251494.3 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Ronsegur, Rondas e Segurança, Lda (507011724)","251.494,30 €",16-04-2020,2020-03-11,1094 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,251494.3,507011724,"Ronsegur, Rondas e Segurança, Lda (507011724)",1094,229.88510054844605,251494.3
504,Serviços de gestão de projeto para apoio à área de Compras ,Concurso público,Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,90731.52 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","E-SYCARE, LDA (509706134)","90.731,52 €",16-04-2020,2020-02-27,672 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,90731.52,509706134,"E-SYCARE, LDA (509706134)",672,135.01714285714286,90731.52
505,Serviços de apoio especializado à Direção de Planeamento e Desenvolvimento Organizacional - lote 1 - serviços de apoio especializado para a área de Acompanhamento e Gestão de Contratos - Perfil 1,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,89760.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ITEN Solutions - Sistemas de Informação, S.A. (510728189)","89.760,00 €",16-04-2020,2020-02-27,1037 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,89760.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",1037,86.55737704918033,89760.0
506,Serviços de manutenção para evolução de Registo Clínico Único do Utente (RCU2) ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,124150.3 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",AltranPortugal (504272179),"124.150,30 €",16-04-2020,2020-03-03,667 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,124150.3,504272179,"AltranPortugal, S.A. (504272179)",667,186.13238380809597,124150.3
507,Serviços de operação de backoffice para o Centro de Suporte da SPMS e outras tarefas de articulação entre a equipa do Centro de Suporte (1as linhas) e as equipas técnicas (2as linhas),Concurso público,Aquisição de serviços,75112100-5,Principal,Serviços administrativos relacionados com projectos de desenvolvimento,399567.68 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",SEARCHWIND (509042635),"399.567,68 €",15-04-2020,2020-03-09,1026 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,399567.68,509042635,Searchwind-Consultores de Gestão Lda (509042635),1026,389.44218323586745,399567.68
508," Serviços de conceção, desenvolvimento e manutenção aplicacional de soluções desenvolvidas à medida, para o Registo Oncológico Nacional (RON)",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,304382.07 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","304.382,07 €",09-04-2020,2020-02-26,1038 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,304382.07,504272179,"AltranPortugal, S.A. (504272179)",1038,293.23898843930635,304382.07
509,Serviços de manutenção evolutiva e corretiva para o Sistema de Informação para a Morbilidade Hospitalar (SIMH) ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,164378.66 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",AltranPortugal (504272179),"164.378,66 €",09-04-2020,2020-02-24,676 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,164378.66,504272179,"AltranPortugal, S.A. (504272179)",676,243.16369822485208,164378.66
510,Serviços para elaboração do Relatório de Aferição de Poupanças 2019,Ajuste Direto Regime Geral,Aquisição de serviços,79212100-4,Principal,Serviços de auditoria financeira,19900.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","New Folder, Lda (514838388)","19.900,00 €",09-04-2020,2020-02-21,311 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19900.0,514838388,"New Folder, Lda (514838388)",311,63.98713826366559,19900.0
511,"CP-AC-2020-008 - CONCURSO PÚBLICO SEM PUBLICAÇÃO NO JORNAL OFICIAL DA UNIÃO EUROPEIA, PARA AQUISIÇÃO DE BENS, NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2020",Concurso público,Locação de bens móveis,33100000-1,Principal,Equipamento médico,24200.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","HFCC MED, Unipessoal, Lda. (515049816)","24.200,00 €",06-04-2020,2020-04-01,275 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,24200.0,515049816,"HFCC MED, Unipessoal, Lda. (515049816)",275,88.0,24200.0
512,CP-AC-2020-001 Aquisição de Serviços de Recolha e Incineração de Resíduos e de Materiais Cortantes ou Perfurantes com Fornecimento de Contentores no âmbito do Programa Troca de Seringas 2020,Concurso público,Aquisição de serviços,90511100-3,Principal,Serviços de recolha de resíduos sólidos urbanos,101442.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Ambimed- GestãoAmbiental, Lda (503593427)","101.442,00 €",06-04-2020,2020-04-01,275 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,101442.0,503593427,"Ambimed - Gestão Ambiental, Lda. (503593427)",275,368.88,101442.0
513,Aquisição de economato para as entidades do Serviço Nacional de Saúde,Concurso público,Aquisição de bens móveis,22100000-1,Principal,"Livros, brochuras e folhetos impressos",17176.77 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","OHMTECNICA, LDA (504059521)","17.176,77 €",11-03-2020,2020-02-24,1041 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,True,,False,,,17176.77,504059521,"OHMTECNICA, LDA (504059521)",1041,16.500259365994236,17176.77
514,"P259-2020-035 Aquisição de bens ao abrigo do CP 2018/20, CP 2018/22, no âmbito do Programa Troca de Seringas 2020",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,13250.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","EZEQUIEL PANÃO JORGE, LDA (501412727)","13.250,00 €",10-03-2020,2020-03-10,296 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,3614532,CP 2018/20,False,,False,,,13250.0,501412727,"EZEQUIEL PANAO JORGE, LDA (501412727)",296,44.763513513513516,13250.0
515,"Serviços de manutenção, assistência e gestão técnica dos edifícios da SPMS, EPE, em Lisboa e no Porto",Concurso público,Aquisição de serviços,50700000-2,Principal,Serviços de reparação e manutenção de equipamento em edifícios,240000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Cisec - Soluções Técnicas de Engenharia e Serviços, S.A. (500205698)","240.000,00 €",06-03-2020,2020-02-28,1034 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,240000.0,500205698,"Cisec - Soluções Técnicas de Engenharia e Serviços, S.A. (500205698)",1034,232.1083172147002,240000.0
516,Serviços de prescrição eletrónica médica e dispensa hospitalar - Serviços de desenvolvimento destinados à evolução dos serviços centrais de suporte à prescrição em ambulatório hospitalar (PEM-H),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,140140.32 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",BABEL Ibérica S.A  (507025229),"140.140,32 €",06-03-2020,2020-02-20,679 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,140140.32,507025229,"BABEL IBÉRICA, S.A. (507025229)",679,206.3922238586156,140140.32
517,Serviços de prescrição eletrónica médica e dispensa hospitalar - serviços de gestão de projeto: Cuidados Respiratórios Domiciliários (PEM-CRD),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,61255.68 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",AltranPortugal (504272179),"61.255,68 €",06-03-2020,2020-02-20,679 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,61255.68,504272179,"AltranPortugal, S.A. (504272179)",679,90.21455081001473,61255.68
518,Fornecimento de gás propano a granel para o edifício do Centro de Controlo e Monitorização do Serviço Nacional de Saúde (CCM-SNS) na Maia,Ajuste Direto Regime Geral,Aquisição de bens móveis,09122100-1,Principal,Gás propano,7884.95 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Repsol Gás Portugal S.A. (507039440),"7.884,95 €",05-03-2020,2020-02-24,310 dias,"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7884.95,507039440,Repsolgas (507039440),310,25.43532258064516,7884.95
519,Serviços de desenvolvimento e manutenção do sistema de Business Intelligence de Recursos Humanos,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,180411.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","180.411,00 €",03-03-2020,2020-01-27,1068 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,180411.0,504272179,"AltranPortugal, S.A. (504272179)",1068,168.92415730337078,180411.0
520,"Serviços de conceção, desenvolvimento e manutenção aplicacional de soluções desenvolvidas à medida para o RENTEV e RENNDA",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,141024.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","ITEN SOLUTIONS - Sistemas de Informação, S.A. (510728189), Optimizer - Serviços e Consultadoria Informática, Lda. (504775936), ITSECTOR – SISTEMAS DE INFORMAÇÃO, S.A. (507291727)","141.024,00 €",03-03-2020,2020-02-11,1053 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,141024.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",1053,133.92592592592592,141024.0
521,Serviços de manutenção corretiva e evolutiva do BICSP,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,426046.2 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","426.046,20 €",03-03-2020,2020-02-13,1051 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,426046.2,504272179,"AltranPortugal, S.A. (504272179)",1051,405.3722169362512,426046.2
522,Aquisição de serviços de operação  -  serviços de gestão de infraestruturas,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,1089926.83 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","INFORMANTEM - INFORMÁTICA E MANUTENÇÃO, S.A. (503670693)","1.089.926,83 €",24-02-2020,2020-02-14,760 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,1089926.83,503670693,Informantem SA (503670693),760,1434.11425,1089926.83
523,Serviços de Operação ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,98936.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Oramix - Sistemas de Inforrmação, SA (504448382)","98.936,00 €",20-02-2020,2020-02-13,180 dias,"Artigo 155.º, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,21-07-2020,"98.936,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,98936.0,504448382,"Oramix Sistemas de Informação, S.A. (504448382)",180,549.6444444444444,98936.0
524,Licenciamento para o Agrupador de Grupos de Diagnósticos Homogéneos (GDH),Ajuste Direto Regime Geral,Aquisição de bens móveis,48100000-9,Principal,Pacote de software para sectores específicos,349495.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",SIGESA - Sistemas de Gestão de Saúde (Portugal) Lda (509661319),"349.495,00 €",13-02-2020,2020-01-27,338 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,349495.0,Portugal,"SIGESA - Sistemas de Gestão de Saúde (Portugal), Unipessoal, Lda. (509661319)",338,1034.008875739645,349495.0
525,"Serviços de utilização da plataforma online ""OpenDataSoft"" no âmbito da Área da Transparência do Portal do SNS ",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,78000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","OpenDataSoft, SAS (FR42538168329)","78.000,00 €",13-02-2020,2020-01-20,582 dias,"Artigo 24.º, n.º 1, alínea e), subalínea i) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,78000.0,FR42538168329,"OpenDataSoft, SAS (FR42538168329)",582,134.02061855670104,78000.0
526,Serviços de apoio para a Direção de Sistemas de Informação - Lote 9 - serviços de evolução e continuação da manutenção da Área do Cidadão,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,3382.72 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","3.382,72 €",11-02-2020,2020-01-02,30 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",Cumprimento integral do contrato,18-05-2020,"3.382,72 €",,,,Não aplicável.,Não aplicável.,False,,False,,,3382.72,504272179,"AltranPortugal, S.A. (504272179)",30,112.75733333333332,3382.72
527,AD-2020-005 AJUSTE DIRETO PARA A AQUISIÇÃO DE SERVIÇOS DE ACONSELHAMENTO NA REDUÇÃO DE RISCOS E MINIMIZAÇÃO DE DANOS DA UNIDADE MÓVEL NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2020,Ajuste Direto Regime Geral,Aquisição de serviços,85312320-8,Principal,Serviços de aconselhamento,9062.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",LisbonPH - Associação Juvenil para o Empreendedorismo da Faculdade de Farmácia da Universidade de Lisboa (510936342),"9.062,00 €",05-02-2020,2020-01-28,32 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,9062.0,510936342,LisbonPH - Associação Juvenil para o Empreendedorismo da Faculdade de Farmácia da Universidade de Lisboa (510936342),32,283.1875,9062.0
528,"AD-2020-004 AJUSTE DIRETO PARA A AQUISIÇÃO DE SERVIÇOS DE ALUGUER, MANUTENÇÃO E GESTÃO DA UNIDADE MÓVEL NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2020",Ajuste Direto Regime Geral,Aquisição de bens móveis,34221100-3,Principal,Unidades móveis de intervenção,7000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",VITAE - Associação de Solidariedade e Desenvolvimento Internacional  (503541117),"7.000,00 €",05-02-2020,2020-02-04,25 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7000.0,503541117,VITAE - Associação de Solidariedade e Desenvolvimento Internacional  (503541117),25,280.0,7000.0
529,"Convite ao abrigo do acordo-quadro: Serviços de manutenção corretiva, evolutiva e de suporte técnico para o Sistema Nacional de Vigilância Epidemiológica (SINAVE)",Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,238392.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",ALTRANPORTUGAL (504272179),"238.392,00 €",05-02-2020,2020-01-15,1080 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1423482,CELEBRAÇÃO DE ACORDO QUADRO PARA PRESTAÇÃO DE SERVIÇOS TIC E INTEROPERABILIDADE NA ÁREA DA SAÚDE,False,,False,,,238392.0,504272179,"AltranPortugal, S.A. (504272179)",1080,220.73333333333332,238392.0
530,AD-2019-143 AJUSTE DIRETO PARA A AQUISIÇÃO DE CARTEIRAS DE ÁCIDO CÍTRICO NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS 2020,Ajuste Direto Regime Geral,Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,9600.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Infosaúde, Instituto de Formação e Inovação em Saúde Unipessoal Lda. (505215330)","9.600,00 €",07-01-2020,2020-01-07,259 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,9600.0,505215330,"Infosaúde, Instituto de Formação e Inovação em Saúde Unipessoal Lda. (505215330)",259,37.06563706563706,9600.0
